u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,junction,ref,geometry,lanes,width,bridge,access,service
211321253,11333547174,0,1222056733,residential,30,Carretera de Barcelona,True,False,16.796484407488265,,,"LINESTRING (2.0260186 41.3199441, 2.0261603 41.3200513)",,,,,
211321253,211321896,0,539861454,tertiary,30,,True,False,12.596680590025311,roundabout,C-245,"LINESTRING (2.0260186 41.3199441, 2.0260044 41.3200086, 2.0259714 41.3200496)",,,,,
245491934,7834011317,0,804468968,cycleway,,,False,False,129.94753937688185,,,"LINESTRING (2.022247 41.3159235, 2.0224167 41.3158673, 2.0231378 41.3151336, 2.023227 41.3150372)",,,,,
473593975,5801467401,0,"[839432388, 1228047101]",cycleway,,,False,True,165.9469348427569,,,"LINESTRING (2.0534137 41.2773192, 2.0534194 41.2773672, 2.0531914 41.2776722, 2.0529318 41.2780267, 2.0529006 41.2780873, 2.0529018 41.2781397, 2.0529214 41.2781943, 2.0529757 41.2782757, 2.0530035 41.2783442, 2.0530068 41.2784058, 2.0529958 41.2785003, 2.0530049 41.2785296, 2.0530186 41.278553, 2.0530508 41.2785965, 2.0530865 41.2786342, 2.0531042 41.2786529, 2.0530953 41.2786596, 2.0530835 41.2786684)",,,,,
473593975,473594000,0,212298816,unclassified,30,,True,False,560.0072383174797,,,"LINESTRING (2.0534137 41.2773192, 2.0533942 41.2772811, 2.0533644 41.2772607, 2.0533127 41.277246, 2.052805 41.2772768, 2.0523949 41.277296, 2.052061 41.2773512, 2.0515546 41.2773899, 2.0512113 41.2774028, 2.0508766 41.2774028, 2.0507038 41.2773757, 2.0505504 41.2773189, 2.0503477 41.2770845, 2.0501278 41.2768107, 2.0500325 41.2766821, 2.0499978 41.2766067, 2.0499618 41.2765581, 2.0498123 41.2765185, 2.0495246 41.276349, 2.0491937 41.2760693, 2.0489979 41.2758783, 2.0488775 41.2757716, 2.0488354 41.2756615, 2.0488586 41.2756007, 2.0488939 41.2755163, 2.0489539 41.275358, 2.0489401 41.2752495, 2.0489086 41.2751744, 2.048883 41.2751156, 2.048867 41.2750549, 2.0488566 41.2750075)",,,,,
1094360207,7833964862,0,"[839518946, 839518947, 804454199]","['path', 'cycleway']",,,False,"[False, True]",555.9014372134957,,,"LINESTRING (2.0137231 41.31501, 2.0135805 41.314949, 2.0144566 41.3139444, 2.0145208 41.3138506, 2.0145211 41.3138176, 2.0144982 41.3137861, 2.0144048 41.3137337, 2.0130161 41.3129535, 2.0129709 41.3129417, 2.0129173 41.3129445, 2.0128987 41.3129556, 2.0128104 41.3130379, 2.0127279 41.3129906, 2.0126536 41.3129489, 2.0126783 41.3129212, 2.0127122 41.3128696, 2.0127152 41.3128179, 2.0127037 41.3127642, 2.0126862 41.3127281, 2.0126664 41.3127042, 2.0120191 41.3122987, 2.0111332 41.3117437)",2,,,,
1567770481,7834021704,0,154103188,cycleway,,,False,False,294.76245198662485,,,"LINESTRING (2.0058461 41.3079825, 2.0059023 41.3080036, 2.0062242 41.3075966, 2.0063674 41.3074594, 2.0067215 41.3071612, 2.0074741 41.3066496, 2.0078389 41.3065166, 2.0083201 41.3064966, 2.0084891 41.306505)",,,,,
1693797759,7834021704,0,804452579,cycleway,,,False,False,374.71624887238204,,,"LINESTRING (2.0114772 41.3089998, 2.0114005 41.3088372, 2.0103666 41.3079841, 2.00869 41.3066605, 2.0084891 41.306505)",1,,,,
2142861651,7833896061,0,204276837,cycleway,,Avinguda de la Torre-roja,False,False,434.81424826921113,,,"LINESTRING (2.0184692 41.3235932, 2.0185175 41.3235567, 2.0195193 41.322799, 2.0202842 41.3222176, 2.0211759 41.3215369, 2.0216343 41.321187, 2.0221284 41.3208113)",,9,,,
2209582615,9036217380,0,"[210931272, 273924482, 273924499, 934269774]",cycleway,,,False,"[False, True]",1151.9425135618806,,,"LINESTRING (2.0673651 41.2869339, 2.0673556 41.2869291, 2.0673444 41.2869268, 2.0673321 41.286927, 2.067321 41.2869301, 2.0662961 41.2874386, 2.0646075 41.2882549, 2.0642738 41.2883971, 2.0631528 41.2890071, 2.0618181 41.289692, 2.0616881 41.2897571, 2.0616404 41.2897886, 2.0615928 41.2898331, 2.0615538 41.2898645, 2.0614888 41.2899101, 2.0611619 41.2900808, 2.0610422 41.2901409, 2.0608827 41.2902211, 2.0606556 41.2903432, 2.0602695 41.2905543, 2.0601966 41.2906056, 2.060132 41.2906493, 2.060071 41.2906944, 2.0599907 41.290734, 2.0598196 41.2907997, 2.0595781 41.2909121, 2.0595573 41.2909218, 2.0590384 41.2911799, 2.0586993 41.2913555, 2.0586014 41.2913895, 2.0585285 41.2914069, 2.0584398 41.2914187, 2.0583429 41.2914187, 2.058269 41.2914041, 2.0581933 41.2913847, 2.0581324 41.2913646, 2.0580511 41.2913243, 2.0579643 41.291266, 2.0578901 41.2912071, 2.057808 41.291115, 2.0577075 41.2910493, 2.0576069 41.2909845, 2.0574881 41.2909354, 2.0573014 41.2908923, 2.057099 41.2908599, 2.056877 41.2908383, 2.0566537 41.2908354, 2.0563926 41.2908501, 2.0560857 41.2908982, 2.0557064 41.2909805)",,,yes,,
2238416890,9036217380,0,"[210931266, 1106666374, 1111647378, 1111647379, 1111647380, 1111647381, 1111647382, 1111647383]",cycleway,,,False,False,1003.4325940409789,,,"LINESTRING (2.0535476 41.2984343, 2.0533302 41.2981772, 2.0529509 41.2977078, 2.0527381 41.2974205, 2.0526447 41.297244, 2.0524703 41.2969108, 2.0523379 41.2965878, 2.0522293 41.2961977, 2.0521609 41.2957875, 2.0521414 41.2956065, 2.0521237 41.2952208, 2.0521326 41.2950598, 2.0522159 41.2946653, 2.0522397 41.2946206, 2.0522724 41.294501, 2.0523124 41.2943742, 2.052326 41.2943322, 2.0524242 41.2940606, 2.0524906 41.2939214, 2.0526217 41.2936606, 2.0527472 41.2934622, 2.0529319 41.2931972, 2.0531129 41.2929669, 2.053375 41.2926935, 2.0536115 41.2924674, 2.0539032 41.2922301, 2.0543815 41.2918569, 2.0546604 41.2916377, 2.0547264 41.2916863, 2.0547334 41.2916908, 2.0547704 41.2917144, 2.0548168 41.2917468, 2.0548353 41.2917597, 2.0549641 41.2916601, 2.0549816 41.291649, 2.0549996 41.2916421, 2.055019 41.2916383, 2.0550472 41.2916352, 2.0550897 41.2916334, 2.0551192 41.291632, 2.0551478 41.2916282, 2.0551834 41.2916216, 2.0552365 41.2916102, 2.0552549 41.2916064, 2.0552771 41.2916043, 2.055297 41.2916053, 2.0553191 41.2916088, 2.0553371 41.291614, 2.0553676 41.2915775, 2.0553789 41.2915637, 2.0554919 41.2915009, 2.0555017 41.2914954, 2.0555231 41.2914852, 2.0555412 41.2914766, 2.0555282 41.291459, 2.0555232 41.2914486, 2.0555218 41.2914298, 2.0555259 41.2914135, 2.0555412 41.2913896, 2.0555583 41.2913577, 2.0555703 41.2913219, 2.0555841 41.2912716, 2.0555929 41.2912501, 2.0556063 41.2912321, 2.0556243 41.2912148, 2.0556372 41.2912044, 2.0556598 41.2911905, 2.0556871 41.2911787, 2.0557097 41.2911717, 2.0557683 41.2911593, 2.0557664 41.291154, 2.0557624 41.2911424, 2.0557499 41.2911067, 2.0557289 41.2910464, 2.055717 41.2910123, 2.0557064 41.2909805)",,,,,
2238416892,2238416898,0,214264187,cycleway,,,False,False,43.67200437320252,,,"LINESTRING (2.0534042 41.298503, 2.0533756 41.2985143, 2.0534379 41.2985855, 2.0534498 41.2986389, 2.0534293 41.2986865, 2.0533906 41.2987358, 2.0533702 41.2987771, 2.0533457 41.2988527)",,,,,
2238416898,2238416892,0,214264187,cycleway,,,False,True,43.67200437320251,,,"LINESTRING (2.0533457 41.2988527, 2.0533702 41.2987771, 2.0533906 41.2987358, 2.0534293 41.2986865, 2.0534498 41.2986389, 2.0534379 41.2985855, 2.0533756 41.2985143, 2.0534042 41.298503)",,,,,
2383446338,7833168253,0,"[1227695468, 898111671]",cycleway,,,False,True,6.2922558911409165,,,"LINESTRING (2.0159453 41.303742, 2.0159751 41.3037282, 2.0160095 41.3037124)",,,,,
2404835470,11382810695,0,"[1107267313, 839523532]",cycleway,,,False,False,191.4090523329983,,,"LINESTRING (2.0225296 41.313096, 2.0224564 41.3130781, 2.0213394 41.3145146)",1,,,,
3088102802,3088102832,0,839426968,cycleway,,,False,False,215.85119297340677,,,"LINESTRING (2.0180366 41.3021043, 2.0179396 41.3021125, 2.0167708 41.303057, 2.0167027 41.3031081, 2.0166299 41.3031588, 2.0165655 41.3031922, 2.0163118 41.3033101, 2.0162342 41.3033468, 2.0161938 41.3034204)",,,,,
3088102818,8346442454,0,"[839426971, 898113172, 898113171]",cycleway,,,False,"[False, True]",180.6436709085379,,,"LINESTRING (2.018522 41.3017102, 2.0184729 41.3016801, 2.0198437 41.3005411, 2.0198836 41.3005697)",,,,,
3088102832,3088102802,0,839426968,cycleway,,,False,True,215.85119297340677,,,"LINESTRING (2.0161938 41.3034204, 2.0162342 41.3033468, 2.0163118 41.3033101, 2.0165655 41.3031922, 2.0166299 41.3031588, 2.0167027 41.3031081, 2.0167708 41.303057, 2.0179396 41.3021125, 2.0180366 41.3021043)",,,,,
4353309813,7833220378,0,898113170,cycleway,,,False,True,3.2674324902547456,,,"LINESTRING (2.0252548 41.3045337, 2.0252798 41.3045111)",,,,,
4558538598,211321256,0,539667094,tertiary,30,,True,False,4.607141239936411,roundabout,C-245,"LINESTRING (2.0256199 41.3199812, 2.0256221 41.3199398)",,,,,
4558538598,11382810161,0,"[1227492155, 1222056731]","['cycleway', 'residential']",30,Carretera de Barcelona,True,False,20.655375438660375,,,"LINESTRING (2.0256199 41.3199812, 2.0255275 41.3199832, 2.0254448 41.3199246, 2.0254743 41.319903)",1,1,,,
4569265245,7833220378,0,839429961,cycleway,,,False,False,641.6762325561047,,,"LINESTRING (2.0205931 41.2999469, 2.0207968 41.3000675, 2.0222823 41.3015214, 2.0236263 41.3028487, 2.0248117 41.3040205, 2.0252798 41.3045111)",,,,,
5346948499,7838957479,0,"[804454808, 804453052, 804456910]",cycleway,,,False,False,776.1353073260973,,,"LINESTRING (2.0129692 41.3156926, 2.0128566 41.3156068, 2.0107545 41.3174086, 2.0105191 41.317512, 2.0104494 41.3175569, 2.0095899 41.3170211, 2.0093857 41.3169618, 2.0092841 41.3168838, 2.0089394 41.3171636, 2.008794 41.3172688, 2.0086716 41.3173901, 2.0083228 41.3177179, 2.0081001 41.3177574, 2.0081288 41.317907, 2.0077595 41.3184334, 2.0075591 41.3185299, 2.007532 41.3187717, 2.007234 41.319255, 2.0073514 41.3193039)",,,,,
5552850365,7524556173,0,898160996,cycleway,,,False,True,7.676605430739397,,,"LINESTRING (2.0308465 41.3182152, 2.0307844 41.3181643)",,,,,
5801467401,9036217405,0,"[1237949831, 918801374, 613019582, 1106666375]",cycleway,,,False,False,1070.6688556464876,,,"LINESTRING (2.0530835 41.2786684, 2.0532006 41.278759, 2.053254 41.2787983, 2.0533041 41.2788441, 2.053339 41.2788859, 2.0533793 41.2789334, 2.0534044 41.2789776, 2.0534251 41.2790145, 2.0534436 41.279062, 2.0534512 41.2791078, 2.0534599 41.2791578, 2.0534588 41.2792184, 2.0534469 41.2792937, 2.0534316 41.2793412, 2.0534109 41.2793936, 2.0533858 41.2794386, 2.0533477 41.2794845, 2.0533085 41.2795254, 2.0532475 41.2795828, 2.0531941 41.2796262, 2.0531472 41.2796589, 2.0530905 41.2797089, 2.0530317 41.2797506, 2.0529783 41.2797883, 2.0529206 41.2798366, 2.0528726 41.2798849, 2.0528454 41.2799087, 2.0528181 41.2799406, 2.0527735 41.2799856, 2.0527615 41.2800159, 2.0527364 41.2800495, 2.0527015 41.2800962, 2.0526917 41.2801306, 2.0526721 41.2801732, 2.0526569 41.2802149, 2.0526449 41.2802575, 2.052634 41.2802935, 2.0526351 41.2803459, 2.0526307 41.2803902, 2.0526253 41.2804368, 2.0526274 41.2804892, 2.0526242 41.2805367, 2.052634 41.2805982, 2.0526405 41.2806563, 2.0526405 41.2807226, 2.0526514 41.2807881, 2.0526699 41.2809994, 2.0526906 41.281137, 2.0527233 41.2813908, 2.0527549 41.2816717, 2.0527931 41.2820344, 2.0528214 41.2822252, 2.0528323 41.2823005, 2.0528683 41.2824119, 2.0529206 41.2825789, 2.0529859 41.2827656, 2.05306 41.2829892, 2.0531636 41.2833011, 2.0532867 41.2836573, 2.0533956 41.2839791, 2.0535839 41.2845027, 2.0537243 41.2849277, 2.0538227 41.2852308, 2.0539136 41.2854878, 2.0539439 41.285594, 2.0539808 41.2857183, 2.0540375 41.2859123, 2.0541388 41.2862316, 2.0543055 41.2867376, 2.0545213 41.2873697, 2.0545392 41.2874062, 2.054561 41.2874325, 2.0545932 41.2874571, 2.0546213 41.2874698, 2.054663 41.2874827, 2.0547035 41.2874934, 2.0547425 41.2875073, 2.0547858 41.2875271, 2.0548222 41.2875484, 2.0548555 41.2875703, 2.0548899 41.2875878, 2.0549277 41.2875995, 2.0549792 41.2876071, 2.0550291 41.2876093)",,,yes,,
5801467401,11387988436,0,"[680290097, 1228047100]",cycleway,,,False,False,8.270048831990398,,,"LINESTRING (2.0530835 41.2786684, 2.0530741 41.2786754, 2.053057 41.2786882, 2.0530134 41.2787209)",,,,,
5801467401,473593975,0,"[839432388, 1228047101]",cycleway,,,False,False,165.9469348427569,,,"LINESTRING (2.0530835 41.2786684, 2.0530953 41.2786596, 2.0531042 41.2786529, 2.0530865 41.2786342, 2.0530508 41.2785965, 2.0530186 41.278553, 2.0530049 41.2785296, 2.0529958 41.2785003, 2.0530068 41.2784058, 2.0530035 41.2783442, 2.0529757 41.2782757, 2.0529214 41.2781943, 2.0529018 41.2781397, 2.0529006 41.2780873, 2.0529318 41.2780267, 2.0531914 41.2776722, 2.0534194 41.2773672, 2.0534137 41.2773192)",,,,,
6315715540,7833168253,0,"[1227695467, 1227695469]",cycleway,,,False,False,6.137625239728315,,,"LINESTRING (2.0160721 41.3036835, 2.0160411 41.3036978, 2.0160095 41.3037124)",,,,,
