osmid,y,x,street_count,highway,ref,geometry
211321253,41.3199441,2.0260186,1,,,POINT (2.0260186 41.3199441)
245491934,41.3159235,2.022247,1,,,POINT (2.022247 41.3159235)
473593975,41.2773192,2.0534137,1,,,POINT (2.0534137 41.2773192)
576359605,41.306601,2.0103452,2,,,POINT (2.0103452 41.306601)
576359606,41.3065716,2.0098366,2,,,POINT (2.0098366 41.3065716)
1094360207,41.31501,2.0137231,1,crossing,,POINT (2.0137231 41.31501)
1096529627,41.317512,2.0105191,2,crossing,,POINT (2.0105191 41.317512)
1104961847,41.313565,2.0148632,2,crossing,,POINT (2.0148632 41.313565)
1104961858,41.3135935,2.0149217,2,crossing,,POINT (2.0149217 41.3135935)
1119033368,41.3129411,2.01558,2,,,POINT (2.01558 41.3129411)
1564373943,41.3067923,2.0113313,2,,,POINT (2.0113313 41.3067923)
1567770481,41.3079825,2.0058461,2,,,POINT (2.0058461 41.3079825)
1666976860,41.3065166,2.0078389,2,,,POINT (2.0078389 41.3065166)
1666976862,41.3071612,2.0067215,2,,,POINT (2.0067215 41.3071612)
1666976869,41.3064966,2.0083201,2,,,POINT (2.0083201 41.3064966)
1666976870,41.3075966,2.0062242,2,,,POINT (2.0062242 41.3075966)
1666976872,41.3080036,2.0059023,2,,,POINT (2.0059023 41.3080036)
1666976877,41.3066496,2.0074741,2,,,POINT (2.0074741 41.3066496)
1666976890,41.3074594,2.0063674,2,,,POINT (2.0063674 41.3074594)
1666976894,41.3066335,2.0110897,2,,,POINT (2.0110897 41.3066335)
1676387266,41.322799,2.0195193,2,,,POINT (2.0195193 41.322799)
1676387274,41.3222176,2.0202842,2,,,POINT (2.0202842 41.3222176)
1693128073,41.315727,2.0241768,2,,,POINT (2.0241768 41.315727)
1693797759,41.3089998,2.0114772,1,,,POINT (2.0114772 41.3089998)
1763262439,41.3197839,2.0258516,2,,,POINT (2.0258516 41.3197839)
2142861584,41.321187,2.0216343,2,,,POINT (2.0216343 41.321187)
2142861651,41.3235932,2.0184692,1,,,POINT (2.0184692 41.3235932)
