u,v,key,osmid,highway,junction,maxspeed,ref,oneway,reversed,length,name,lanes,width,access,bridge,tunnel,geometry
211321253,1118733996,0,539861454,tertiary,roundabout,30,C-245,True,False,7.269459242818053,,,,,,,"LINESTRING (2.0260186 41.3199441, 2.0260044 41.3200086)"
211321253,11333547174,0,1222056733,residential,,30,,True,False,16.796484407488265,Carretera de Barcelona,,,,,,"LINESTRING (2.0260186 41.3199441, 2.0261603 41.3200513)"
245491934,7524620894,0,804468968,cycleway,,,,False,False,15.489317700197256,,,,,,,"LINESTRING (2.022247 41.3159235, 2.0224167 41.3158673)"
245491934,4223738545,0,22818698,residential,,,,True,False,34.4037317776083,Avinguda dels Germans Gabrielistes,,,,,,"LINESTRING (2.022247 41.3159235, 2.022503 41.3156811)"
245491934,11382810690,0,540714692,residential,,,,True,False,119.40662844576461,Carrer de Jaume Balmes,1,,,,,"LINESTRING (2.022247 41.3159235, 2.0213933 41.3150621)"
473593975,7833257977,0,839432388,cycleway,,,,False,True,5.358576371717389,,,,,,,"LINESTRING (2.0534137 41.2773192, 2.0534194 41.2773672)"
576359605,1666976894,0,154103188,cycleway,,,,False,False,62.291811385861955,,,,,,,"LINESTRING (2.0103452 41.306601, 2.0110897 41.3066335)"
576359605,576359606,0,154103188,cycleway,,,,False,True,42.60816355703293,,,,,,,"LINESTRING (2.0103452 41.306601, 2.0098366 41.3065716)"
576359606,576359605,0,154103188,cycleway,,,,False,False,42.60816355703293,,,,,,,"LINESTRING (2.0098366 41.3065716, 2.0103452 41.306601)"
576359606,7834021704,0,154103188,cycleway,,,,False,True,112.79802199047971,,,,,,,"LINESTRING (2.0098366 41.3065716, 2.0084891 41.306505)"
1094360207,7524479485,0,804454199,cycleway,,,,False,True,13.70572285291641,,,,,,,"LINESTRING (2.0137231 41.31501, 2.0135805 41.314949)"
1094360207,8668691306,0,94137765,residential,,,,False,True,48.38056515054316,Avinguda Josep Tarradellas,,,,,,"LINESTRING (2.0137231 41.31501, 2.014033 41.3146424)"
1094360207,1094360224,0,124212330,residential,,,,True,False,26.083293262808233,Avinguda Josep Tarradellas,,,,,,"LINESTRING (2.0137231 41.31501, 2.0135917 41.3152228)"
1096529627,7524450292,0,804453052,cycleway,,,,False,True,22.774609641819033,,,,,,,"LINESTRING (2.0105191 41.317512, 2.0107545 41.3174086)"
1096529627,7524464671,0,804454808,cycleway,,,,False,False,7.668778275281645,,,,,,,"LINESTRING (2.0105191 41.317512, 2.0104494 41.3175569)"
1096529627,8668680137,0,94392707,residential,,,,True,False,45.244838123353716,Carrer Verge de Montserrat,,,,,,"LINESTRING (2.0105191 41.317512, 2.010124 41.3172336)"
1104961847,7524420476,0,804454201,cycleway,,,,False,False,6.6855658138043825,,,,,,,"LINESTRING (2.0148632 41.313565, 2.0147839 41.3135568)"
1104961847,1104961858,0,804454201,cycleway,,,,False,True,5.823646536825445,,,,,,,"LINESTRING (2.0148632 41.313565, 2.0149217 41.3135935)"
1104961847,1676387264,0,95260872,residential,,,,True,False,37.58682559868431,Avinguda Josep Tarradellas,,,,,,"LINESTRING (2.0148632 41.313565, 2.0151273 41.3132913)"
1104961858,1104961847,0,804454201,cycleway,,,,False,False,5.823646536825445,,,,,,,"LINESTRING (2.0149217 41.3135935, 2.0148632 41.313565)"
1104961858,7524420477,0,804454201,cycleway,,,,False,True,6.090601563287284,,,,,,,"LINESTRING (2.0149217 41.3135935, 2.0149796 41.3136268)"
1104961858,2484613876,0,95260873,residential,,,,True,False,8.052664603290163,Avinguda Josep Tarradellas,,,,,,"LINESTRING (2.0149217 41.3135935, 2.0148776 41.3136579)"
1119033368,7524420477,0,804454201,cycleway,,,,False,False,91.25830146187694,,,,,,,"LINESTRING (2.01558 41.3129411, 2.0149796 41.3136268)"
1119033368,7524420482,0,804454201,cycleway,,,,False,True,27.736662118599522,,,,,,,"LINESTRING (2.01558 41.3129411, 2.0157655 41.3127342)"
1119033368,10098683059,0,96612662,residential,,,,True,False,75.48450063832937,Carrer del Marqués d'Estella,,,,,,"LINESTRING (2.01558 41.3129411, 2.0154228 41.3136096)"
1119033368,1134264331,0,96612663,residential,,,,True,False,89.16609128788022,Carrer d'Enric Granados,,,,,,"LINESTRING (2.01558 41.3129411, 2.0164055 41.3134496)"
1564373943,9766954690,0,1054298148,cycleway,,,,False,False,6.994927964601411,Avinguda de la Generalitat,2,2,,,,"LINESTRING (2.0113313 41.3067923, 2.011263 41.3067559)"
1564373943,9688831083,0,1054298148,cycleway,,,,False,True,5.970968514869244,Avinguda de la Generalitat,2,2,,,,"LINESTRING (2.0113313 41.3067923, 2.0113999 41.3068074)"
1564373943,211305825,0,20026256,tertiary_link,,50,,True,False,18.117740402646668,Avinguda de la Generalitat,,,,,,"LINESTRING (2.0113313 41.3067923, 2.0112383 41.3066451)"
