u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,junction,ref,geometry,lanes,width,access,bridge,tunnel
211321253,11333547174,0,1222056733,residential,30,Carretera de Barcelona,True,False,16.796484407488265,,,"LINESTRING (2.0260186 41.3199441, 2.0261603 41.3200513)",,,,,
211321253,211321896,0,539861454,tertiary,30,,True,False,12.596680590025311,roundabout,C-245,"LINESTRING (2.0260186 41.3199441, 2.0260044 41.3200086, 2.0259714 41.3200496)",,,,,
245491934,11382810690,0,540714692,residential,,Carrer de Jaume Balmes,True,False,119.40662844576461,,,"LINESTRING (2.022247 41.3159235, 2.0213933 41.3150621)",1,,,,
245491934,7834011317,0,804468968,cycleway,,,False,False,129.94753937688185,,,"LINESTRING (2.022247 41.3159235, 2.0224167 41.3158673, 2.0231378 41.3151336, 2.023227 41.3150372)",,,,,
245491934,1672512178,0,22818698,residential,,Avinguda dels Germans Gabrielistes,True,False,313.4154572964196,,,"LINESTRING (2.022247 41.3159235, 2.022503 41.3156811, 2.0225876 41.315601, 2.022596 41.3155922, 2.0226018 41.3155861, 2.0230669 41.3151006, 2.0231106 41.3150549, 2.0239952 41.3141312, 2.0244733 41.313655)",,,,,
473593975,5801467401,0,"[839432388, 1228047101]",cycleway,,,False,True,165.9469348427569,,,"LINESTRING (2.0534137 41.2773192, 2.0534194 41.2773672, 2.0531914 41.2776722, 2.0529318 41.2780267, 2.0529006 41.2780873, 2.0529018 41.2781397, 2.0529214 41.2781943, 2.0529757 41.2782757, 2.0530035 41.2783442, 2.0530068 41.2784058, 2.0529958 41.2785003, 2.0530049 41.2785296, 2.0530186 41.278553, 2.0530508 41.2785965, 2.0530865 41.2786342, 2.0531042 41.2786529, 2.0530953 41.2786596, 2.0530835 41.2786684)",,,,,
1094360207,1094360224,0,124212330,residential,,Avinguda Josep Tarradellas,True,False,26.083293262808233,,,"LINESTRING (2.0137231 41.31501, 2.0135917 41.3152228)",,,,,
1094360207,8346896777,0,"[839518947, 804454199]","['path', 'cycleway']",,,False,"[False, True]",352.0973888369681,,,"LINESTRING (2.0137231 41.31501, 2.0135805 41.314949, 2.0144566 41.3139444, 2.0145208 41.3138506, 2.0145211 41.3138176, 2.0144982 41.3137861, 2.0144048 41.3137337, 2.0130161 41.3129535, 2.0129709 41.3129417, 2.0129173 41.3129445, 2.0128987 41.3129556, 2.0128104 41.3130379, 2.0127279 41.3129906)",,,,,
1094360207,1094360174,0,94137765,residential,,Avinguda Josep Tarradellas,False,True,131.27387998110385,,,"LINESTRING (2.0137231 41.31501, 2.014033 41.3146424, 2.0140944 41.3145629, 2.0143111 41.3142899, 2.014548 41.3140052)",,,,,
1096529627,5346948499,0,804453052,cycleway,,,False,True,302.5565794402903,,,"LINESTRING (2.0105191 41.317512, 2.0107545 41.3174086, 2.0128566 41.3156068, 2.0129692 41.3156926)",,,,,
1096529627,8346896773,0,804454808,cycleway,,,False,False,119.23786167977755,,,"LINESTRING (2.0105191 41.317512, 2.0104494 41.3175569, 2.0095899 41.3170211, 2.0093857 41.3169618)",,,,,
1096529627,1131141543,0,94392707,residential,,Carrer Verge de Montserrat,True,False,51.25739819481542,,,"LINESTRING (2.0105191 41.317512, 2.010124 41.3172336, 2.0100715 41.3171966)",,,,,
1104961847,1104961858,0,804454201,cycleway,,,False,True,5.823646536825445,,,"LINESTRING (2.0148632 41.313565, 2.0149217 41.3135935)",,,,,
1104961847,7524420481,0,"[804454200, 804454201]",cycleway,,,False,"[False, True]",129.02499932799603,,,"LINESTRING (2.0148632 41.313565, 2.0147839 41.3135568, 2.0155939 41.3126401)",,,,,
1104961847,1084139081,0,95260872,residential,,Avinguda Josep Tarradellas,True,False,131.06073978231535,,,"LINESTRING (2.0148632 41.313565, 2.0151273 41.3132913, 2.0155098 41.3128657, 2.0156418 41.3126634, 2.0157277 41.3125846)",,,,,
1104961858,1104961847,0,804454201,cycleway,,,False,False,5.823646536825445,,,"LINESTRING (2.0149217 41.3135935, 2.0148632 41.313565)",,,,,
1104961858,1119033368,0,804454201,cycleway,,,False,True,97.34890302516422,,,"LINESTRING (2.0149217 41.3135935, 2.0149796 41.3136268, 2.01558 41.3129411)",,,,,
1104961858,1094360111,0,95260873,residential,,Avinguda Josep Tarradellas,True,False,15.553574084442678,,,"LINESTRING (2.0149217 41.3135935, 2.0148776 41.3136579, 2.0148513 41.3137224)",,,,,
1119033368,7524420482,0,804454201,cycleway,,,False,True,27.736662118599522,,,"LINESTRING (2.01558 41.3129411, 2.0157655 41.3127342)",,,,,
1119033368,1134264331,0,96612663,residential,,Carrer d'Enric Granados,True,False,89.16609128788022,,,"LINESTRING (2.01558 41.3129411, 2.0164055 41.3134496)",,,,,
1119033368,1104961858,0,804454201,cycleway,,,False,False,97.34890302516422,,,"LINESTRING (2.01558 41.3129411, 2.0149796 41.3136268, 2.0149217 41.3135935)",,,,,
1119033368,1119033371,0,"[102696588, 96612662]",residential,,"[""Carrer del Marqués d'Estella"", 'Carrer de Tomàs Breton']",True,False,123.68590862903352,,,"LINESTRING (2.01558 41.3129411, 2.0154228 41.3136096, 2.0154259 41.3136368, 2.0154399 41.3136563, 2.0157918 41.3139349)",,,,,
1564373943,211305825,0,20026256,tertiary_link,50,Avinguda de la Generalitat,True,False,18.117740402646668,,,"LINESTRING (2.0113313 41.3067923, 2.0112383 41.3066451)",,,,,
1564373943,7834021704,0,"[154103188, 1054298148]",cycleway,,Avinguda de la Generalitat,False,"[False, True]",247.37528337613367,,,"LINESTRING (2.0113313 41.3067923, 2.011263 41.3067559, 2.0111569 41.3066488, 2.0111447 41.3066226, 2.0110897 41.3066335, 2.0103452 41.306601, 2.0098366 41.3065716, 2.0084891 41.306505)",2,2,,,
1564373943,10185571985,0,1054298148,cycleway,,Avinguda de la Generalitat,False,True,172.23826824720106,,,"LINESTRING (2.0113313 41.3067923, 2.0113999 41.3068074, 2.0114788 41.3068214, 2.0115329 41.3068295, 2.0115727 41.3068551, 2.0125144 41.3077768, 2.0125826 41.3078313, 2.01258 41.3079482)",2,2,,,
1567770481,1666976869,0,154103188,cycleway,,,False,False,280.61525922884823,,,"LINESTRING (2.0058461 41.3079825, 2.0059023 41.3080036, 2.0062242 41.3075966, 2.0063674 41.3074594, 2.0067215 41.3071612, 2.0074741 41.3066496, 2.0078389 41.3065166, 2.0083201 41.3064966)",,,,,
1567770481,246811462,0,26359434,residential,40,Avinguda de la Riera de Sant Llorenç,True,False,40.50545421107807,,,"LINESTRING (2.0058461 41.3079825, 2.0056704 41.3082057, 2.0055934 41.3082933)",,,,,
1666976869,7834021704,0,154103188,cycleway,,,False,False,14.147192757776631,,,"LINESTRING (2.0083201 41.3064966, 2.0084891 41.306505)",,,,,
1666976869,246811978,0,22921471,residential,50,Avinguda de Gavà,True,False,5.1503381363407055,,,"LINESTRING (2.0083201 41.3064966, 2.0082778 41.3064629)",1,,yes,,
1666976869,1567770481,0,154103188,cycleway,,,False,True,280.61525922884823,,,"LINESTRING (2.0083201 41.3064966, 2.0078389 41.3065166, 2.0074741 41.3066496, 2.0067215 41.3071612, 2.0063674 41.3074594, 2.0062242 41.3075966, 2.0059023 41.3080036, 2.0058461 41.3079825)",,,,,
1693128073,245491904,0,34888158,residential,,Carrer de Guifré el Pelós,True,False,17.506666084413364,,,"LINESTRING (2.0241768 41.315727, 2.0240239 41.3156193)",,,,,
1693128073,8346947731,0,804466943,cycleway,,Passeig de la Marina,False,False,72.33249578865652,,,"LINESTRING (2.0241768 41.315727, 2.0240089 41.3158501, 2.0236674 41.316118, 2.0235783 41.3161968)",,,,,
1693128073,8346947721,0,804466943,cycleway,,Passeig de la Marina,False,True,75.49848322945897,,,"LINESTRING (2.0241768 41.315727, 2.0242575 41.3156305, 2.0246703 41.3152565, 2.0247189 41.3151862)",,,,,
1693797759,7834021704,0,804452579,cycleway,,,False,False,374.71624887238204,,,"LINESTRING (2.0114772 41.3089998, 2.0114005 41.3088372, 2.0103666 41.3079841, 2.00869 41.3066605, 2.0084891 41.306505)",1,,,,
1693797759,1693806116,0,22887544,residential,,Avinguda del Doctor Fleming,True,False,112.28784708112775,,,"LINESTRING (2.0114772 41.3089998, 2.0115801 41.3089072, 2.0117234 41.308773, 2.012096 41.3084307, 2.0123139 41.3082097)",,,,,
1693797759,1666976869,0,22921471,residential,50,Avinguda de Gavà,True,False,383.43728839395874,,,"LINESTRING (2.0114772 41.3089998, 2.0110374 41.3086617, 2.0103263 41.3080989, 2.0102632 41.3080449, 2.0102212 41.3080114, 2.0086809 41.3067841, 2.0084348 41.306588, 2.0083201 41.3064966)",1,,yes,,
1763262439,4558538601,0,97535998,residential,,Carretera de Barcelona,True,False,5.973629922188658,,,"LINESTRING (2.0258516 41.3197839, 2.0259182 41.3198035)",,,,,
1763262439,11333547176,0,1222056728,cycleway,,Carretera de Barcelona,True,False,6.276988066581952,,,"LINESTRING (2.0258516 41.3197839, 2.0259092 41.3197923, 2.0259228 41.3197993)",1,1,,,
2142861651,7833896061,0,204276837,cycleway,,Avinguda de la Torre-roja,False,False,434.81424826921113,,,"LINESTRING (2.0184692 41.3235932, 2.0185175 41.3235567, 2.0195193 41.322799, 2.0202842 41.3222176, 2.0211759 41.3215369, 2.0216343 41.321187, 2.0221284 41.3208113)",,9,,,
2142861651,2142861448,0,204276818,residential,,Plaça dels Voluntaris Olímpics,True,False,69.0172538099997,roundabout,,"LINESTRING (2.0184692 41.3235932, 2.0184986 41.3236253, 2.0185142 41.3236625, 2.0185148 41.3237015, 2.0184961 41.3237451, 2.0184588 41.3237813, 2.0184073 41.3238058, 2.0183477 41.3238156, 2.0182873 41.3238096, 2.0182332 41.3237885, 2.0181919 41.3237548, 2.0181683 41.3237126, 2.0181654 41.3236668, 2.0181833 41.3236231, 2.0182201 41.3235865)",,,,,
2187128539,8346947728,0,"[1228659163, 1228659165, 1228659166]",cycleway,,,False,False,170.3356886207552,,,"LINESTRING (2.0152352 41.3239473, 2.015253 41.3239257, 2.0159518 41.3230772, 2.0162665 41.3226915, 2.0163058 41.3226434)",,,,,
2187128539,11394244985,0,"[1228659162, 1228659163, 1228659155]",cycleway,,,False,True,219.96283271119137,,,"LINESTRING (2.0152352 41.3239473, 2.0152166 41.3239698, 2.0151081 41.3241008, 2.0148574 41.3244011, 2.0147521 41.3245397, 2.0146906 41.3246093, 2.0139796 41.3251167, 2.013972 41.3251337, 2.013978 41.3251514, 2.0140999 41.3252696, 2.0141061 41.3253147, 2.0141061 41.3253491, 2.0140981 41.3253801, 2.0140342 41.3254789, 2.0140278 41.3254863, 2.0140204 41.3254957, 2.0139949 41.325527)",,,,,
2187128539,607644081,0,"[208418592, 208418591]",residential,,Carrer de la Franja de Ponent,True,False,69.62358524215993,,,"LINESTRING (2.0152352 41.3239473, 2.0152152 41.3239351, 2.0149366 41.3237624, 2.014685 41.3236279, 2.0146373 41.3236025, 2.0145726 41.3235679)",,,,yes,
2209582615,9036217380,0,"[210931272, 273924482, 273924499, 934269774]",cycleway,,,False,"[False, True]",1151.9425135618806,,,"LINESTRING (2.0673651 41.2869339, 2.0673556 41.2869291, 2.0673444 41.2869268, 2.0673321 41.286927, 2.067321 41.2869301, 2.0662961 41.2874386, 2.0646075 41.2882549, 2.0642738 41.2883971, 2.0631528 41.2890071, 2.0618181 41.289692, 2.0616881 41.2897571, 2.0616404 41.2897886, 2.0615928 41.2898331, 2.0615538 41.2898645, 2.0614888 41.2899101, 2.0611619 41.2900808, 2.0610422 41.2901409, 2.0608827 41.2902211, 2.0606556 41.2903432, 2.0602695 41.2905543, 2.0601966 41.2906056, 2.060132 41.2906493, 2.060071 41.2906944, 2.0599907 41.290734, 2.0598196 41.2907997, 2.0595781 41.2909121, 2.0595573 41.2909218, 2.0590384 41.2911799, 2.0586993 41.2913555, 2.0586014 41.2913895, 2.0585285 41.2914069, 2.0584398 41.2914187, 2.0583429 41.2914187, 2.058269 41.2914041, 2.0581933 41.2913847, 2.0581324 41.2913646, 2.0580511 41.2913243, 2.0579643 41.291266, 2.0578901 41.2912071, 2.057808 41.291115, 2.0577075 41.2910493, 2.0576069 41.2909845, 2.0574881 41.2909354, 2.0573014 41.2908923, 2.057099 41.2908599, 2.056877 41.2908383, 2.0566537 41.2908354, 2.0563926 41.2908501, 2.0560857 41.2908982, 2.0557064 41.2909805)",,,,yes,
2216977292,10982856311,0,"[210931266, 1106666374, 1111647378, 1111647379, 1111647380, 1111647382]",cycleway,,,False,False,129.5836488350291,,,"LINESTRING (2.0547704 41.2917144, 2.0548168 41.2917468, 2.0548353 41.2917597, 2.0549641 41.2916601, 2.0549816 41.291649, 2.0549996 41.2916421, 2.055019 41.2916383, 2.0550472 41.2916352, 2.0550897 41.2916334, 2.0551192 41.291632, 2.0551478 41.2916282, 2.0551834 41.2916216, 2.0552365 41.2916102, 2.0552549 41.2916064, 2.0552771 41.2916043, 2.055297 41.2916053, 2.0553191 41.2916088, 2.0553371 41.291614, 2.0553676 41.2915775, 2.0553789 41.2915637, 2.0554919 41.2915009, 2.0555017 41.2914954, 2.0555231 41.2914852, 2.0555412 41.2914766, 2.0555282 41.291459, 2.0555232 41.2914486, 2.0555218 41.2914298, 2.0555259 41.2914135, 2.0555412 41.2913896, 2.0555583 41.2913577, 2.0555703 41.2913219, 2.0555841 41.2912716, 2.0555929 41.2912501, 2.0556063 41.2912321, 2.0556243 41.2912148, 2.0556372 41.2912044, 2.0556598 41.2911905, 2.0556871 41.2911787, 2.0557097 41.2911717, 2.0557683 41.2911593, 2.0557664 41.291154, 2.0557624 41.2911424, 2.0557499 41.2911067)",,,,,
