osmid,y,x,street_count,highway,ref,geometry
211321253,41.3199441,2.0260186,3,,,POINT (2.0260186 41.3199441)
245491934,41.3159235,2.022247,3,,,POINT (2.022247 41.3159235)
473593975,41.2773192,2.0534137,1,,,POINT (2.0534137 41.2773192)
1094360207,41.31501,2.0137231,3,crossing,,POINT (2.0137231 41.31501)
1096529627,41.317512,2.0105191,2,crossing,,POINT (2.0105191 41.317512)
1104961847,41.313565,2.0148632,2,crossing,,POINT (2.0148632 41.313565)
1104961858,41.3135935,2.0149217,2,crossing,,POINT (2.0149217 41.3135935)
1119033368,41.3129411,2.01558,3,,,POINT (2.01558 41.3129411)
1564373943,41.3067923,2.0113313,2,,,POINT (2.0113313 41.3067923)
1567770481,41.3079825,2.0058461,2,,,POINT (2.0058461 41.3079825)
1666976869,41.3064966,2.0083201,2,,,POINT (2.0083201 41.3064966)
1693128073,41.315727,2.0241768,2,,,POINT (2.0241768 41.315727)
1693797759,41.3089998,2.0114772,3,,,POINT (2.0114772 41.3089998)
1763262439,41.3197839,2.0258516,2,,,POINT (2.0258516 41.3197839)
2142861651,41.3235932,2.0184692,2,,,POINT (2.0184692 41.3235932)
2187128539,41.3239473,2.0152352,2,crossing,,POINT (2.0152352 41.3239473)
2209582615,41.2869339,2.0673651,2,,,POINT (2.0673651 41.2869339)
2216977292,41.2917144,2.0547704,2,crossing,,POINT (2.0547704 41.2917144)
2238416890,41.2984343,2.0535476,1,,,POINT (2.0535476 41.2984343)
2238416891,41.298478,2.0534581,2,crossing,,POINT (2.0534581 41.298478)
2238416892,41.298503,2.0534042,1,,,POINT (2.0534042 41.298503)
2238416898,41.2988527,2.0533457,2,,,POINT (2.0533457 41.2988527)
2383446338,41.303742,2.0159453,2,crossing,,POINT (2.0159453 41.303742)
2404835470,41.313096,2.0225296,3,crossing,,POINT (2.0225296 41.313096)
2407138071,41.3103833,2.0096361,3,crossing,,POINT (2.0096361 41.3103833)
3088102802,41.3021043,2.0180366,2,crossing,,POINT (2.0180366 41.3021043)
3088102818,41.3017102,2.018522,2,crossing,,POINT (2.018522 41.3017102)
3088102832,41.3034204,2.0161938,2,crossing,,POINT (2.0161938 41.3034204)
4353309813,41.3045337,2.0252548,3,,,POINT (2.0252548 41.3045337)
4558538598,41.3199812,2.0256199,3,,,POINT (2.0256199 41.3199812)
4569265245,41.2999469,2.0205931,3,,,POINT (2.0205931 41.2999469)
5346948499,41.3156926,2.0129692,3,crossing,,POINT (2.0129692 41.3156926)
5552850365,41.3182152,2.0308465,2,crossing,,POINT (2.0308465 41.3182152)
5801467401,41.2786684,2.0530835,3,,,POINT (2.0530835 41.2786684)
6315715540,41.3036835,2.0160721,2,crossing,,POINT (2.0160721 41.3036835)
6315715546,41.3051217,2.0177752,2,crossing,,POINT (2.0177752 41.3051217)
6315715552,41.3052065,2.0176833,2,crossing,,POINT (2.0176833 41.3052065)
6369783595,41.2786882,2.053057,2,crossing,,POINT (2.053057 41.2786882)
6369784007,41.3082398,2.0264205,2,crossing,,POINT (2.0264205 41.3082398)
6369784013,41.3093098,2.0259852,2,crossing,,POINT (2.0259852 41.3093098)
6369784014,41.3091817,2.0257596,2,crossing,,POINT (2.0257596 41.3091817)
6640642462,41.3176961,2.0220066,2,crossing,,POINT (2.0220066 41.3176961)
6640642467,41.3188532,2.0210602,2,crossing,,POINT (2.0210602 41.3188532)
6640642470,41.3183539,2.0215386,2,crossing,,POINT (2.0215386 41.3183539)
7232459528,41.3083086,2.0263826,3,,,POINT (2.0263826 41.3083086)
7524420478,41.3116605,2.0164607,3,,,POINT (2.0164607 41.3116605)
7524420481,41.3126401,2.0155939,1,,,POINT (2.0155939 41.3126401)
7524420482,41.3127342,2.0157655,1,,,POINT (2.0157655 41.3127342)
7524420483,41.3122706,2.015943,1,,,POINT (2.015943 41.3122706)
7524420484,41.3123724,2.0160984,1,,,POINT (2.0160984 41.3123724)
7524458025,41.3116253,2.0233227,2,crossing,,POINT (2.0233227 41.3116253)
7524458029,41.3128382,2.0252668,2,,,POINT (2.0252668 41.3128382)
7524458045,41.3128624,2.0253115,3,,,POINT (2.0253115 41.3128624)
7524554142,41.3172133,2.022423,3,,,POINT (2.022423 41.3172133)
7524554154,41.3145216,2.0252674,1,,,POINT (2.0252674 41.3145216)
7524554155,41.3170572,2.0223404,3,,,POINT (2.0223404 41.3170572)
7524554161,41.3146368,2.0251198,1,,,POINT (2.0251198 41.3146368)
7524556111,41.3185855,2.0302346,3,,,POINT (2.0302346 41.3185855)
7524556112,41.3176449,2.0286107,2,crossing,,POINT (2.0286107 41.3176449)
7524556117,41.3187413,2.0300317,3,,,POINT (2.0300317 41.3187413)
7524556123,41.3160136,2.0284834,2,,,POINT (2.0284834 41.3160136)
7524556141,41.3169994,2.029403,3,,,POINT (2.029403 41.3169994)
7524556149,41.3201887,2.0281358,3,,,POINT (2.0281358 41.3201887)
7524556171,41.3149602,2.0274206,2,,,POINT (2.0274206 41.3149602)
7524556173,41.3181643,2.0307844,3,,,POINT (2.0307844 41.3181643)
7524556174,41.3207785,2.0273639,3,,,POINT (2.0273639 41.3207785)
7833168253,41.3037124,2.0160095,3,,,POINT (2.0160095 41.3037124)
7833168260,41.3030057,2.0165348,2,,,POINT (2.0165348 41.3030057)
7833168263,41.3051659,2.0177272,3,,,POINT (2.0177272 41.3051659)
7833220370,41.3092299,2.025841,3,,,POINT (2.025841 41.3092299)
7833220378,41.3045111,2.0252798,3,,,POINT (2.0252798 41.3045111)
7833220379,41.3070784,2.0273787,2,crossing,,POINT (2.0273787 41.3070784)
7833252095,41.3116739,2.0234116,3,,,POINT (2.0234116 41.3116739)
7833252105,41.3102391,2.0278971,3,,,POINT (2.0278971 41.3102391)
7833252107,41.3071175,2.0272908,2,crossing,,POINT (2.0272908 41.3071175)
7833889427,41.3122972,1.9954034,1,,,POINT (1.9954034 41.3122972)
7833889439,41.3143531,2.0015296,1,,,POINT (2.0015296 41.3143531)
7833896061,41.3208113,2.0221284,1,,,POINT (2.0221284 41.3208113)
7833964862,41.3117437,2.0111332,2,crossing,,POINT (2.0111332 41.3117437)
7834011317,41.3150372,2.023227,3,,,POINT (2.023227 41.3150372)
7834021704,41.306505,2.0084891,3,,,POINT (2.0084891 41.306505)
7838957479,41.3193039,2.0073514,2,crossing,,POINT (2.0073514 41.3193039)
7966370608,41.3093407,2.0117005,2,crossing,,POINT (2.0117005 41.3093407)
8346424656,41.3031907,2.0160271,2,crossing,,POINT (2.0160271 41.3031907)
8346442454,41.3005697,2.0198836,2,crossing,,POINT (2.0198836 41.3005697)
8346896751,41.3185299,2.0075591,2,crossing,,POINT (2.0075591 41.3185299)
8346896759,41.3177574,2.0081001,2,crossing,,POINT (2.0081001 41.3177574)
8346896764,41.3172688,2.008794,2,crossing,,POINT (2.008794 41.3172688)
8346896773,41.3169618,2.0093857,2,crossing,,POINT (2.0093857 41.3169618)
8346926055,41.3096788,2.0113474,2,crossing,,POINT (2.0113474 41.3096788)
8346926059,41.3126813,2.0036304,2,crossing,,POINT (2.0036304 41.3126813)
8346945905,41.3130874,2.0252303,2,crossing,,POINT (2.0252303 41.3130874)
8346945907,41.3200014,2.0285152,2,crossing,,POINT (2.0285152 41.3200014)
8346945908,41.3117564,2.0235589,2,crossing,,POINT (2.0235589 41.3117564)
8346945909,41.3200492,2.0282426,2,crossing,,POINT (2.0282426 41.3200492)
8346945912,41.3190688,2.0269264,2,crossing,,POINT (2.0269264 41.3190688)
8346945913,41.3199478,2.0284491,3,,,POINT (2.0284491 41.3199478)
8346945914,41.3169341,2.0293165,2,crossing,,POINT (2.0293165 41.3169341)
8346945915,41.3155306,2.0241096,2,crossing,,POINT (2.0241096 41.3155306)
8346945916,41.3208322,2.0183274,2,crossing,,POINT (2.0183274 41.3208322)
8346947719,41.3214239,2.0176305,2,crossing,,POINT (2.0176305 41.3214239)
8346947721,41.3151862,2.0247189,2,,,POINT (2.0247189 41.3151862)
8346947724,41.3202392,2.0282045,2,crossing,,POINT (2.0282045 41.3202392)
8346947727,41.3186329,2.0303013,2,crossing,,POINT (2.0303013 41.3186329)
8346947728,41.3226434,2.0163058,2,crossing,,POINT (2.0163058 41.3226434)
8346947730,41.3208233,2.027432,2,crossing,,POINT (2.027432 41.3208233)
8346947731,41.3161968,2.0235783,2,,,POINT (2.0235783 41.3161968)
8346947732,41.3166393,2.0229469,2,,,POINT (2.0229469 41.3166393)
8346947733,41.3187918,2.0300948,2,crossing,,POINT (2.0300948 41.3187918)
8346947734,41.3129541,2.025337,2,crossing,,POINT (2.025337 41.3129541)
8346947735,41.3186523,2.0300879,2,crossing,,POINT (2.0300879 41.3186523)
8346947737,41.3172558,2.0223489,2,crossing,,POINT (2.0223489 41.3172558)
8426609761,41.3117193,2.0025019,2,crossing,,POINT (2.0025019 41.3117193)
8711080818,41.3217186,2.0129858,2,,,POINT (2.0129858 41.3217186)
9036217380,41.2909805,2.0557064,3,,,POINT (2.0557064 41.2909805)
9036217404,41.2876835,2.0550532,1,,,POINT (2.0550532 41.2876835)
9036217405,41.2876093,2.0550291,1,,,POINT (2.0550291 41.2876093)
9450394829,41.3054688,2.018145,1,,,POINT (2.018145 41.3054688)
9485752939,41.3102264,2.0278745,2,,,POINT (2.0278745 41.3102264)
9485752941,41.3102513,2.0248142,2,,,POINT (2.0248142 41.3102513)
9485752946,41.3108209,2.0242526,2,,,POINT (2.0242526 41.3108209)
9493716910,41.322349,2.0157125,2,crossing,,POINT (2.0157125 41.322349)
9688831085,41.3094057,2.0141673,2,,,POINT (2.0141673 41.3094057)
9688831086,41.3109475,2.0156962,2,,,POINT (2.0156962 41.3109475)
9766954688,41.3082674,2.012889,2,,,POINT (2.012889 41.3082674)
9781413839,41.3118801,2.0167231,3,,,POINT (2.0167231 41.3118801)
9781413840,41.3117515,2.0163172,2,crossing,,POINT (2.0163172 41.3117515)
9781413841,41.3119203,2.0166745,2,crossing,,POINT (2.0166745 41.3119203)
9959380161,41.3231885,2.0299459,3,,,POINT (2.0299459 41.3231885)
9959411345,41.3229226,2.0287667,2,crossing,,POINT (2.0287667 41.3229226)
9959411364,41.3222033,2.029071,2,crossing,,POINT (2.029071 41.3222033)
9959411367,41.3222498,2.029966,2,crossing,,POINT (2.029966 41.3222498)
9959411368,41.3231185,2.030038,2,crossing,,POINT (2.030038 41.3231185)
9959411369,41.322346,2.0300921,2,crossing,,POINT (2.0300921 41.322346)
9959411370,41.3230156,2.0301552,2,crossing,,POINT (2.0301552 41.3230156)
9959453007,41.3209517,2.0269092,3,,,POINT (2.0269092 41.3209517)
9959453008,41.3207468,2.0271862,3,,,POINT (2.0271862 41.3207468)
9959453009,41.3208708,2.0270186,2,crossing,,POINT (2.0270186 41.3208708)
9959453011,41.3207867,2.0271322,2,crossing,,POINT (2.0271322 41.3207867)
9959981780,41.317551,2.0227674,2,crossing,,POINT (2.0227674 41.317551)
