u,v,key,osmid,highway,maxspeed,oneway,ref,reversed,length,lanes,name,width,junction,access,service,bridge,geometry
211310173,211311619,0,20026406,tertiary,30,True,C-245,False,16.086980468721837,,,,,,,,"LINESTRING (2.0127051 41.307768, 2.0128679 41.3078453)"
211310173,10212134071,0,164715303,tertiary,30,False,C-245,True,9.761432374802348,4,Avinguda de la Generalitat,12,,,,,"LINESTRING (2.0127051 41.307768, 2.0126344 41.3076981)"
211310729,1885951241,0,540512676,tertiary,30,True,C-245,False,7.231585195488105,,,,roundabout,,,,"LINESTRING (2.0126321 41.3079493, 2.0126508 41.3078858)"
211310730,211310731,0,540512634,tertiary,30,True,C-245,False,6.415467612169711,,,,roundabout,,,,"LINESTRING (2.0126876 41.3078453, 2.0127563 41.3078195)"
211310731,211311619,0,540512634,tertiary,30,True,C-245,False,9.753068955035252,,,,roundabout,,,,"LINESTRING (2.0127563 41.3078195, 2.0128679 41.3078453)"
211311619,211311621,0,20026341,tertiary,30,True,C-245,False,14.226318741062032,,,,roundabout,,,,"LINESTRING (2.0128679 41.3078453, 2.0129966 41.3079291)"
211311621,245493082,0,20026341,tertiary,30,True,C-245,False,7.927923261922295,,,,roundabout,,,,"LINESTRING (2.0129966 41.3079291, 2.0130518 41.3079871)"
211311623,211313493,0,20026479,tertiary,30,True,C-245,False,26.51816930332135,,,,,,,,"LINESTRING (2.0131103 41.3080744, 2.0132366 41.3082932)"
211311623,211311624,0,540512633,tertiary,30,True,C-245,False,9.653327000879205,,,,roundabout,,,,"LINESTRING (2.0131103 41.3080744, 2.0131082 41.3081612)"
211311624,211311626,0,540512633,tertiary,30,True,C-245,False,7.151112547576527,,,,roundabout,,,,"LINESTRING (2.0131082 41.3081612, 2.0130599 41.3082143)"
211311626,1885951247,0,540512633,tertiary,30,True,C-245,False,8.448904480137879,,,,roundabout,,,,"LINESTRING (2.0130599 41.3082143, 2.0129621 41.3082337)"
211311629,211311630,0,540512676,tertiary,30,True,C-245,False,14.199263659129,,,,roundabout,,,,"LINESTRING (2.0128507 41.3082128, 2.0127305 41.3081225)"
211311630,211311632,0,540512676,tertiary,30,True,C-245,False,13.162946953588811,,,,roundabout,,,,"LINESTRING (2.0127305 41.3081225, 2.0126533 41.3080193)"
211311632,1885951244,0,540512676,tertiary,30,True,C-245,False,5.95926855069673,,,,roundabout,,,,"LINESTRING (2.0126533 41.3080193, 2.0126331 41.3079679)"
211312187,211310173,0,178227485,tertiary,30,True,C-245,False,3.7094247624188554,,,,,,,,"LINESTRING (2.012676 41.3077932, 2.0127051 41.307768)"
211313493,211313834,0,20026490,tertiary,30,True,C-245,False,11.43855885426104,,,,,,,,"LINESTRING (2.0132366 41.3082932, 2.0131095 41.3082549)"
