osmid,y,x,street_count,highway,ref,geometry
206378333,41.3044667,2.0140192,1,,,POINT (2.0140192 41.3044667)
211305820,41.3064414,2.0114135,1,,,POINT (2.0114135 41.3064414)
211310173,41.307768,2.0127051,3,,,POINT (2.0127051 41.307768)
211310729,41.3079493,2.0126321,2,,,POINT (2.0126321 41.3079493)
211310730,41.3078453,2.0126876,2,,,POINT (2.0126876 41.3078453)
211310731,41.3078195,2.0127563,2,,,POINT (2.0127563 41.3078195)
211311619,41.3078453,2.0128679,3,,,POINT (2.0128679 41.3078453)
211311621,41.3079291,2.0129966,2,,,POINT (2.0129966 41.3079291)
211311623,41.3080744,2.0131103,3,,,POINT (2.0131103 41.3080744)
211311624,41.3081612,2.0131082,2,,,POINT (2.0131082 41.3081612)
211311626,41.3082143,2.0130599,2,,,POINT (2.0130599 41.3082143)
211311629,41.3082128,2.0128507,2,,,POINT (2.0128507 41.3082128)
211311630,41.3081225,2.0127305,2,,,POINT (2.0127305 41.3081225)
211311632,41.3080193,2.0126533,2,,,POINT (2.0126533 41.3080193)
211312187,41.3077932,2.012676,2,,,POINT (2.012676 41.3077932)
211313493,41.3082932,2.0132366,3,,,POINT (2.0132366 41.3082932)
211313834,41.3082549,2.0131095,2,,,POINT (2.0131095 41.3082549)
211317738,41.3093259,2.0143063,2,,,POINT (2.0143063 41.3093259)
211317741,41.3116634,2.016644,2,traffic_signals,,POINT (2.016644 41.3116634)
211317742,41.3136411,2.0186278,2,,,POINT (2.0186278 41.3136411)
211317743,41.3141148,2.0191475,2,,,POINT (2.0191475 41.3141148)
211318993,41.3169258,2.0220082,1,,,POINT (2.0220082 41.3169258)
211318996,41.3169314,2.0222203,1,,,POINT (2.0222203 41.3169314)
211319000,41.3171254,2.0222212,1,,,POINT (2.0222212 41.3171254)
211320730,41.317593,2.0227019,2,,,POINT (2.0227019 41.317593)
211320731,41.3179903,2.0232061,2,,,POINT (2.0232061 41.3179903)
211320732,41.3197461,2.0255578,3,,,POINT (2.0255578 41.3197461)
211321251,41.3198039,2.0258033,3,,,POINT (2.0258033 41.3198039)
211321253,41.3199441,2.0260186,3,,,POINT (2.0260186 41.3199441)
211321254,41.3201131,2.0258483,2,,,POINT (2.0258483 41.3201131)
211321256,41.3199398,2.0256221,3,,,POINT (2.0256221 41.3199398)
211321896,41.3200496,2.0259714,3,,,POINT (2.0259714 41.3200496)
